Data Year - Fiscal,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth,BK
2007,6.65,-0.36,-1.35,-20.95,-0.16,-1.16,0.63,-0.26,-0.65,-1.47,-0.036,-0.296,-0.786,0
2009,0.825,-4.834,0.245,-1.853,-0.089,1.644,0.51,-0.174,-74.363,3.072,-0.542,-0.827,-0.681,1
2008,5.02,-0.056,0.041,-14.427,-2.367,0.19,0.506,-4.676,-0.626,2801.4,-0.141,-0.456,-0.6,1
2008,0.823,-0.375,0.073,-1.658,-0.209,1.869,0.231,-0.902,-5.777,30.435,-0.174,-0.615,-0.585,1
2008,2.664,-10.544,-0.416,-1.776,0.178,-1.585,1.133,0.157,-22.433,-0.215,-0.767,-0.647,-0.471,1
2008,1.974,-2.074,-1.117,-3.711,-0.552,-1.415,1.212,-0.455,-10.914,-10.136,-0.151,0.397,-0.4,1
2010,1.288,-0.193,-0.617,-0.47,0.072,-326.491,1.015,0.071,-0.07,-1261.1,-0.018,0.034,-0.351,1
2011,2.047,-4.094,-1.621,-3.707,-2.851,-1.787,0.399,-7.142,-12.259,-8.322,-0.748,0.143,-0.341,1
2007,0.86,3.16,0.32,0.7,0.01,0.15,0.55,0.02,0.17,8.3,0.22,-0.355,-0.339,0
2007,1.216,-0.016,0.172,-0.763,-0.02,3.314,2.654,-0.008,-0.005,165.13,-0.11,-0.173,-0.312,1
2008,0.533,-0.456,0.119,-6.505,-0.976,0.031,0.305,-3.195,-3.775,11.019,-0.527,-0.659,-0.3,1
2007,2.06,-0.601,0.519,-4.474,-0.221,6.026,1.048,-0.211,-0.319,337.636,-0.341,0.018,-0.292,1
2008,1.276,-3.651,-0.424,-1.077,0.029,-2.288,1.737,0.017,-40.562,-3.186,-0.393,-0.105,-0.281,1
2007,3.125,-0.042,0.61,-20.01,0.122,-1.65,2.653,0.046,-0.263,-40.646,-0.008,0.196,-0.264,1
2014,1.743,-21.069,0.054,-1.554,0.046,-2.135,1.054,0.044,-2.349,-2.479,-0.301,0.257,-0.222,1
2008,0.976,-1.439,-0.286,-1.136,-0.282,2.545,0.437,-0.645,-2.998,32.225,-0.271,-0.601,-0.208,1
2009,1.631,-1.6,-0.837,-3.463,0.11,-2.256,3.537,0.031,-3.902,-8.803,-0.446,-0.366,-0.208,1
2007,4.062,-0.222,0.012,-3.888,-0.782,0.291,0.121,-6.462,-0.244,1329.693,-0.564,0.104,-0.198,1
2007,0.71,-0.84,0.18,0.43,-0.04,0.15,0.95,-0.05,-0.09,6.37,0.002,-0.1,-0.198,0
2012,1.751,-4.329,-0.779,-1.309,-0.028,-2.086,1.516,-0.019,-86.576,-0.062,-0.236,-0.22,-0.186,1
2007,1.05,-1.76,0.16,-0.49,-0.18,2.87,1.93,-0.09,-1.96,14.08,0.438,-0.003,-0.186,0
2014,9.223,-0.309,-1.108,-16.489,-1.519,-0.821,1.068,-1.422,-0.137,-7.473,0.226,1.004,-0.179,1
2007,1.56,0.36,0.27,-0.51,0.05,0.38,0.62,0.09,0.04,298.37,0.091,-0.048,-0.175,0
2008,0.85,-2.036,0.269,-0.476,-0.1,1.264,4.503,-0.022,-2.514,1.724,-0.262,-0.285,-0.173,1
2007,1.38,0,0.28,0.52,0.03,0.46,1.14,0.03,0,91.89,-0.029,-0.151,-0.166,0
2009,1.212,-9.466,-0.097,-0.326,0.082,-10.901,0.617,0.133,-5.634,-55.293,-0.43,-0.139,-0.161,1
2013,1.004,-0.144,0.006,-1.989,-0.28,0.041,0.397,-0.705,-0.412,155.464,-0.113,0.018,-0.143,1
2007,0.84,-1.23,0.43,0.64,-0.19,0.28,1.63,-0.12,-0.33,1.16,-0.142,-0.192,-0.143,0
2009,1.383,-17.075,0.009,-0.716,0.001,-0.014,0.567,0.002,-210.797,-0.149,-0.318,0.11,-0.141,1
2013,4.948,-3.153,0.164,-6.674,-1.445,-1.475,0.021,-68.134,-1.877,-131.965,-0.709,19.977,-0.137,1
2008,1.617,-0.288,0.235,-7.612,-2.074,0.028,0,,-1.424,65.976,-0.315,0,-0.136,1
2010,1.436,-11.115,0.264,-0.645,-0.117,-0.351,3.054,-0.038,-44.479,-0.616,-0.065,-0.083,-0.133,1
2011,1.096,-5.746,0.507,-2.783,-0.135,10.326,0.599,-0.226,-4.869,131.249,-0.436,-0.086,-0.133,1
2014,1.966,-0.572,-1.415,-1.538,0.072,-1.79,0.469,0.155,-2.884,-5.666,-0.113,0.014,-0.133,1
2007,1.94,2.91,0.2,-0.21,0.16,0.63,0.43,0.37,0.06,3070.8,0.025,0.035,-0.129,0
2012,1.687,-4.908,-1.42,-2.094,0.04,-1.872,1.34,0.03,-94.381,-0.165,-0.334,-0.134,-0.128,1
2009,0.888,50.906,0.026,-0.056,0.024,2.2,1.571,0.015,2.679,0.74,-0.029,-0.257,-0.126,1
2007,2.292,-19.548,-1.155,-1.592,-0.341,-1.032,3.697,-0.092,-930.842,-0.025,-0.425,-0.035,-0.124,1
2007,1.485,-3.179,-0.077,-0.384,-0.046,-0.143,2.92,-0.016,-48.903,-0.288,-0.114,-0.041,-0.12,1
2009,0.99,-7.435,-0.023,-0.208,-0.018,7.39,0.597,-0.03,-1.638,17.45,-0.105,0.155,-0.12,1
2012,0.884,-3.873,0.126,-0.243,-0.071,2.146,0.913,-0.077,-1.206,16.218,-0.143,-0.066,-0.117,1
2007,1.877,-25.23,0.079,-1.21,-0.068,-0.163,1.805,-0.037,-1261.478,-0.008,-0.279,-0.094,-0.115,1
2007,0.96,-3.36,0.19,-0.5,-0.2,0.44,0.99,-0.21,-1.23,23.32,-0.377,-0.366,-0.114,0
2013,1.075,-2.735,0.081,-0.975,0.082,16.572,1.744,0.047,-1.638,52.825,-0.171,0.078,-0.111,1
2007,1.52,-0.11,0.22,-0.34,0.07,0.52,1.46,0.05,-0.01,145.89,0.1,0.097,-0.11,0
2008,1.057,-3.295,-0.289,-0.537,0.027,-28.458,2.147,0.012,-7.164,-51.744,-0.333,-0.04,-0.104,1
2007,2.49,-0.032,0.231,-7.516,-0.242,3.495,0.424,-0.571,-0.167,1700.408,-0.154,-0.357,-0.103,1
2010,0.661,1.277,-0.104,0.01,0.076,0.926,0.331,0.229,0.3,1.652,-0.158,-0.299,-0.091,1
2007,1.603,-0.494,-0.125,-0.409,-0.051,3.838,0.084,-0.604,-0.251,-1815.569,0.139,0.379,-0.082,1
2008,0.875,-1.04,-0.698,-0.727,-0.493,4.649,0.181,-2.729,-15.066,27.107,-0.371,0.038,-0.074,1
2007,1.28,-0.1,0.03,0.3,0.06,1.29,0.94,0.06,-0.01,141.65,-0.111,-0.008,-0.069,0
2013,1.023,-2.754,0.156,-0.575,0.009,-11.026,1.405,0.007,-11.975,-51.498,0.014,-0.039,-0.067,1
2007,2.39,-0.25,-0.01,-2.79,-0.16,0.47,0.66,-0.24,-0.11,93.41,0.007,1.774,-0.063,0
